"Source","Target"
"MAGLIOCCO-GIUSEPPE","LIVORSI-FRANK"
"ANNICCHIARICO-ANTHONY","TAMBONE-PETER"
"MARONE-JOSEPH","FONTANA-AUGUST"
"TIERI-FRANK","MAIORANA-SALVATORE"
"LOCASCIO-CARMINE","CASTALDI-ANTHONY"
"GALANTE-CARMINE","DIPALERMO-JOSEPH"
"CORREALE-PAUL","TRAUMUNTI-CARMINE"
"ALBANESE-PHILIP","NOBILE-GEORGE"
"CARUSO-FRANK","CINQUEGRANA-BENEDETTO"
"ALTIMARI-MICHAEL","BONINA-NICHOLAS"
"BONVENTRE-GIOVANNI","SORGE-SANTO"
"CONIGLIO-BENEDETTO","FERRIGNO-BARTOLO"
"PANICA-VICTOR","VALACHI-JOSEPH"
"CORALLUZZO-EARL","FOTI-JOSEPH"
"GALANTE-CARMINE","GIGANTE-VINCENT"
"PANICA-VICTOR","MAURO-VINCENZO"
"LUCIANO-FRANK","CUOMO-MATTHEW"
"MOGAVERO-ROSARIO","TUMINARO-ANGELO"
"PETILLO-DAVID","MAURO-VINCENZO"
"DENTICO-JOSEPH","RAO-JOSEPH"
"TOLENTINO-NICHOLAS","BARBATO-ARNOLD"
"STOPELLI-INNOCENZIO","PIACENTI-PETER"
"COSTIGLIA-FRANCISCO","BONVENTRE-GIOVANNI"
"ORLANDO-LORENZO","ORLANDO-IGNAZIO"
"VALACHI-JOSEPH","ORMENTO-JOHN"
"EVOLA-NATALE","ORMENTO-JOHN"
"CLEMENTE-MICHAEL","PELLEGRINO-ROCCO"
"LISI-GAETANO","DIPIETRO-CARLO"
"ROSSI-UGO","ORMENTO-JOHN"
"CORALLUZZO-EARL","CUOMO-MATTHEW"
"CURCIO-CHARLES","MAIORINO-SALVATORE"
"GALANTE-CARMINE","ORMENTO-JOHN"
"NOBILE-GEORGE","MAURO-VINCENZO"
"CARMINATI-ANTHONY","DIBENE-NICHOLAS"
"RUSSO-GAETANO","PROFACI-GIUSEPPE"
"RICCOBONO-JOSEPH","DONGARRO-CHARLES"
"LEO-ARTHUR","MAURO-VINCENZO"
"BISOGNO-JOSEPH","LUCIANO-FRANK"
"BONINA-NICHOLAS","SQUILLANTE-VINCENT"
"LEO-ARTHUR","VENTO-JOSEPH"
"LOCASCIO-CARMINE","ALBERO-CHARLES"
"VALACHI-JOSEPH","SIANO-FIORE"
"ORMENTO-JOHN","PELLEGRINO-CARMINE"
"TRUPIA-CHARLES","BUZZEO-FILLIPPO"
"BARBATO-SALVATORE","CASABLANCA-JAMES"
"PELOSO-ANTHONY","PANEBIANCO-VINCENT"
"GUIPPONE-ROBERT","MAURIELLO-ALFRED"
"SMITH-DAVID","CORALLO-ANTHONY"
"LUCCHESE-GAETANO","COCO-ETTORE"
"ARMONE-STEPHEN","QUARTIERO-LAWRENCE"
"BEHRMAN-NATHAN","BLOOM-SOLOMON"
"GERNIE-JOSEPH","NICOLINE-MICHAEL"
"CARUSO-FRANK","GENNARO-JOSEPH"
"BEHRMAN-NATHAN","LATONA-JOSEPH"
"CONTALDO-THOMAS","NOBILE-GEORGE"
"PAGANO-JOSEPH","PAGANO-PASQUALE"
"STOPELLI-INNOCENZIO","ALBERO-CHARLES"
"CURCIO-CHARLES","DEGEORGE-JAMES"
"BENDENELLI-JOSEPH","IAROSSI-LAWRENCE"
"VALACHI-JOSEPH","MAURO-VINCENZO"
"ANASTASIO-ANTONIO","SCHIPANI-JOSEPH"
"RICCOBONO-JOSEPH","PROFACI-GIUSEPPE"
"GALANTE-CARMINE","DISTEFANO-VINCENT"
"DIPALERMO-JOSEPH","ISABELLA-FLORIO"
"GAMBINO-CARLO","LUCIANO-FRANK"
"CASTALDI-ANTHONY","CORALLO-ANTHONY"
"ALTIMARI-MICHAEL","ANACLERIO-GERMAIO"
"TANTILLO-ENRICO","MAIORINO-SALVATORE"
"LOIACANO-ANGELO","ORLANDO-IGNAZIO"
"PATTI-SANTO","GENNARO-JOSEPH"
"GALANTE-CARMINE","SORGE-SANTO"
"PELLEGRINO-PETER","PELLEGRINO-CARMINE"
"PROFACI-GIUSEPPE","LIVORSI-FRANK"
"COCO-ETTORE","GRANZA-ANTHONY"
"ALBERO-CHARLES","TORTORICI-JOSEPH"
"ALBANESE-PHILIP","CONTALDO-THOMAS"
"GALLO-LAWRENCE","ODDO-JOHN"
"PROFACI-GIUSEPPE","VINTALORO-JAMES"
"ORMENTO-JOHN","DIOGUARDI-JOHN"
"PROFACI-GIUSEPPE","ODDO-JOHN"
"ALBERO-CHARLES","ORMENTO-JOHN"
"CARUSO-FRANK","CONTALDO-THOMAS"
"BARCELLONA-CHARLES","ANACLERIO-GERMAIO"
"CASTALDI-ANTHONY","LOIACANO-ANGELO"
"CASTALDI-ANTHONY","CARMINATI-ANTHONY"
"MANNARINO-GIACINTO","AMAROSA-ALEXANDER"
"NOBILE-GEORGE","TUMINARO-ANGELO"
"TRAINA-GIUSEPPE","LIVORSI-FRANK"
"LIVORSI-FRANK","DIOGUARDI-JOHN"
"CASTALDI-ANTHONY","BARBATO-SALVATORE"
"INDIVIGLIO-CIRINO","PUCO-STEPHEN"
"LUCCHESE-GAETANO","STROMBERG-HARRY"
"LUCCHESE-GAETANO","ERICHSEN-FRANK"
"PRISINZANO-FRANK","TUMINARO-ANGELO"
"MARONE-JOSEPH","STOPELLI-INNOCENZIO"
"KASSOP-SAMUEL","ORMENTO-JOHN"
"ORMENTO-JOHN","AMENDOLA-FRANK"
"PAOLI-ORLANDO","DARGENIO-EDWARD"
"ORMENTO-JOHN","LOMBARDO-PHILIP"
"DONATO-FRANK","GRANZA-ANTHONY"
"STOPELLI-INNOCENZIO","GIGANTE-VINCENT"
"CURCIO-CHARLES","SQUILLANTE-VINCENT"
"PAOLI-ORLANDO","VALACHI-JOSEPH"
"DIPALERMO-PETER","GIGLIOTTI-GIORGIO"
"MAZZIE-ROCCO","BORELLI-FRANK"
"OFRIA-SEBASTIAN","ALBANESE-PHILIP"
"ANASTASIO-ANTONIO","LOMBARDOZZI-CARMINE"
"GALLO-LAWRENCE","LOMBARDOZZI-CARMINE"
"DIGIOVANNA-JOSEPH","LACASCIA-CHARLES"
"LUCCHESE-GAETANO","GAROFOLO-FRANK"
"BISOGNO-JOSEPH","DIBENE-NICHOLAS"
"LESSA-DANIEL","DIPALERMO-JOSEPH"
"ALTIMARI-MICHAEL","VALACHI-JOSEPH"
"BRESCIA-LORENZO","FRACCACRETA-PAUL"
"ORMENTO-JOHN","VENTO-JOSEPH"
"COSTIGLIA-FRANCISCO","ALO-VINCENT"
"TRUPIA-CHARLES","DIPALERMO-JOSEPH"
"CORREALE-PAUL","ALO-VINCENT"
"BARRA-ROCCO","PISCIOTTA-ROSARIO"
"BENDENELLI-JOSEPH","EDER-MAX"
"ALBERO-CHARLES","BARATTA-PETER"
"CASTELLANO-PAUL","MAIORANA-SALVATORE"
"TOCCO-JOSEPH","ORMENTO-JOHN"
"LOMBARDO-PHILIP","VENTO-JOSEPH"
"GAMBINO-CARLO","GAMBINO-PAOLO"
"ROSSI-UGO","MEZZASALMA-ROSARIO"
"PRESINZANO-ANGELO","GALANTE-CARMINE"
"SIANO-FIORE","PAGANO-PASQUALE"
"ANDOLINO-SIMONE","MIRANDA-MICHELE"
"COSTIGLIA-FRANCISCO","LANZA-JOSEPH"
"LESSA-DANIEL","POLIZZANO-RALPH"
"LIVORSI-FRANK","EDER-MAX"
"POLIZZANO-RALPH","DIPALERMO-CHARLES"
"ORMENTO-JOHN","ABBRESCIA-ANGELO"
"DIPALERMO-JOSEPH","SORGE-SANTO"
"BARRA-ROCCO","PISCIOTTA-ANTHONY"
"FRACCACRETA-PAUL","MIRANDA-MICHELE"
"LESSA-DANIEL","ARDITO-JOHN"
"LOIACANO-ANGELO","MOGAVERO-ROSARIO"
"ROSSI-UGO","CASTELLANO-PAUL"
"GALANTE-CARMINE","PRISINZANO-FRANK"
"ORMENTO-JOHN","RAO-VINCENZO"
"ALBERO-CHARLES","RAO-JOSEPH"
"NAPOLITANO-ANTHONY","MASSI-JAMES"
"DARGENIO-EDWARD","PICONE-MICHAEL"
"PALADINO-CARMINE","PUCO-STEPHEN"
"LUCIANO-FRANK","GAMBINO-PAOLO"
"KASSOP-SAMUEL","CASTELLANO-PAUL"
"CATALDO-JOSEPH","VALACHI-JOSEPH"
"BEHRMAN-NATHAN","PUCO-STEPHEN"
"LUCIANO-FRANK","VENTO-JOSEPH"
"LACASCIA-CHARLES","MORSELLINO-VINCENZO"
"BORELLI-FRANK","RAO-CALOGERO"
"ALTIMARI-MICHAEL","AVOLA-MARIO"
"ANASTASIO-ANTONIO","ODDO-JOHN"
"RINALDI-ROSARIO","ANACLERIO-GERMAIO"
"GENTILE-ANTHONY","MONASTERSKY-SAMUEL"
"TOLENTINO-NICHOLAS","PUCO-STEPHEN"
"CLEMENTE-MICHAEL","MOGAVERO-ROSARIO"
"ANASTASIO-ANTONIO","BONASERA-CASSANDROS"
"KASSOP-SAMUEL","BORELLI-FRANK"
"BORELLI-FRANK","BONINA-NICHOLAS"
"BARRA-ROCCO","MASSI-JAMES"
"MEZZASALMA-ROSARIO","LOFARO-FRANK"
"MAZZIE-ROCCO","NICOLINE-MICHAEL"
"BENDENELLI-JOSEPH","PALMIERI-GEORGE"
"RAO-JOSEPH","MARTELLO-NICHOLAS"
"LOCASCIO-CARMINE","DISTEFANO-VINCENT"
"GALANTE-CARMINE","LOMBARDOZZI-CARMINE"
"GERNIE-JOSEPH","MOSCA-ALFONSO"
"LUCCHESE-GAETANO","VINTALORO-JAMES"
"TAUBMAN-MOISCHE","MONASTERSKY-SAMUEL"
"CURCIO-CHARLES","INDIVIGLIO-CIRINO"
"FRANCOMANO-ANTHONY","ORLANDO-IGNAZIO"
"MAGLIOCCO-GIUSEPPE","TRAINA-GIUSEPPE"
"BENDENELLI-JOSEPH","TOLENTINO-NICHOLAS"
"LUCCHESE-GAETANO","LIVORSI-FRANK"
"COSTIGLIA-FRANCISCO","TAUBMAN-MOISCHE"
"COSTIGLIA-FRANCISCO","MIRANDA-MICHELE"
"LIVORSI-FRANK","VENTO-JOSEPH"
"MANCINO-FRANCESCO","MARI-FRANK"
"ALBASI-JOHN","ORMENTO-JOHN"
"CARUSO-FRANK","ALBANESE-PHILIP"
"CORALLO-ANTHONY","DIOGUARDI-JOHN"
"ANASTASIO-ANTONIO","ANDOLINO-SIMONE"
"RINALDI-ROSARIO","ALLOCCO-DOMINICK"
"LUCCHESE-GAETANO","ARDITO-JOHN"
"RAO-VINCENZO","PAPA-FORTUNATO"
"BRESCIA-LORENZO","MIRANDA-MICHELE"
"SCALICI-GIACOMO","CUOMO-MATTHEW"
"CIRELLI-JOSEPH","SPITALE-SALVATORE"
"PAPA-FORTUNATO","GIGLIO-ALEXANDER"
"PICONE-MICHAEL","DIOGUARDI-JOHN"
"EMBARRATO-ALFRED","MIRRA-ANTHONY"
"MAZZIE-ROCCO","LAZZARO-CARMELO"
"FOCERI-LOUIS","MONASTERSKY-SAMUEL"
"BONVENTRE-GIOVANNI","SPADARO-JOSEPH"
"TOLENTINO-NICHOLAS","NAPOLITANO-ANTHONY"
"LUCCHESE-GAETANO","CORREALE-PAUL"
"CASTALDI-ANTHONY","LAZZARO-CARMELO"
"ALBERO-CHARLES","LIVORSI-FRANK"
"LEO-ARTHUR","ORMENTO-JOHN"
"MORSELLINO-VINCENZO","RIZZUTO-ANTHONY"
"BARCELLONA-CHARLES","POLIZZANO-RALPH"
"SALERNO-ANTHONY","RAO-JOSEPH"
"PETRONE-JOHN","DIPALERMO-CHARLES"
"DIPALERMO-JOSEPH","GIGLIOTTI-GIORGIO"
"BONASERA-CASSANDROS","RICCI-ANTHONY"
"PROFACI-GIUSEPPE","MATRANGA-PASQUALE"
"GAMBINO-CARLO","SCARPULLA-MICHELE"
"LOIACANO-ANGELO","ORMENTO-JOHN"
"MOGAVERO-ROSARIO","EMBARRATO-ALFRED"
"MAGLIOCCO-GIUSEPPE","GAMBINO-PAOLO"
"BEHRMAN-NATHAN","DIPALERMO-PETER"
"STOPELLI-INNOCENZIO","BUIA-MATILDO"
"MAZZIE-ROCCO","CASABLANCA-JAMES"
"FRANCO-COSMO","ALBERTI-ANDREW"
"GENNARO-JOSEPH","GUIDO-ALFRED"
"CASTALDI-ANTHONY","ARDITO-JOHN"
"BLOOM-SOLOMON","VELLUCCI-ANTHONY"
"LUCCHESE-GAETANO","TORREGROSSA-ANDREA"
"GRECO-FRANK","RAO-JOSEPH"
"MARONE-JOSEPH","AMENDOLA-FRANK"
"MALIZIA-JOHN","PACELLI-VINCENT"
"BORELLI-FRANK","IAROSSI-LAWRENCE"
"LANDI-ALBERT","BORELLI-FRANK"
"CURCIO-CHARLES","BORELLI-FRANK"
"TOLENTINO-NICHOLAS","ORZO-THEODORE"
"ALBERO-CHARLES","RAO-CALOGERO"
"ORLANDO-IGNAZIO","NAPOLITANO-ANTHONY"
"SIANO-FIORE","MANCUSO-ANTHONY"
"GIGLIOTTI-GIORGIO","TURRIGIANO-GIUSEPPE"
"ROMANO-NUNZIO","CRISCI-ANTHONY"
"CORRAO-VINCENT","NOBILE-GEORGE"
"CORONA-FRANK","PASQUA-FRANK"
"SCHIPANI-JOSEPH","MAIORANA-SALVATORE"
"BONINA-NICHOLAS","PISCIOTTA-ANTHONY"
"KASSOP-SAMUEL","CASTALDI-ANTHONY"
"DEMARTINO-THEODORE","ALTIMARI-MICHAEL"
"CURCIO-CHARLES","LANDI-ALBERT"
"KASSOP-SAMUEL","MAZZIE-ROCCO"
"SABELLA-JAMES","MAGLIOCCO-GIUSEPPE"
"LOCASCIO-CARMINE","MOGAVERO-ROSARIO"
"IAROSSI-LAWRENCE","MANCUSO-ANTHONY"
"STOPELLI-INNOCENZIO","MAURO-VINCENZO"
"COCO-ETTORE","CORALLO-ANTHONY"
"PROFACI-GIUSEPPE","GAMBINO-PAOLO"
"DIPALERMO-JOSEPH","POLIZZANO-RALPH"
"GUIPPONE-ROBERT","CARMINATI-ANTHONY"
"TANTILLO-ENRICO","TOLENTINO-NICHOLAS"
"ORMENTO-JOHN","SQUILLANTE-VINCENT"
"CARUSO-FRANK","MARONE-JOSEPH"
"PUCO-STEPHEN","ALBATE-CHARLES"
"FOCERI-LOUIS","CIRAULO-VINCENT"
"DIPALERMO-JOSEPH","ALBERTI-ANDREW"
"DIPALERMO-PETER","DIPALERMO-JOSEPH"
"DARGENIO-EDWARD","ATTARDI-ALFONSO"
"CASTALDI-ANTHONY","SQUILLANTE-VINCENT"
"CONIGLIO-BENEDETTO","ORMENTO-JOHN"
"ANDOLINO-SIMONE","DIOGUARDI-JOHN"
"LESSA-DANIEL","MALIZIA-JOHN"
"SPECIALE-SALVATORE","LUCCHESE-GAETANO"
"CLEMENTE-MICHAEL","LAPI-JOSEPH"
"CARUSO-FRANK","ORMENTO-JOHN"
"TANTILLO-ENRICO","CASABLANCA-JAMES"
"DISTEFANO-VINCENT","MIRANDA-MICHELE"
"BONVENTRE-GIOVANNI","GAROFOLO-FRANK"
"MANFREDONIA-RICHARD","MAURO-VINCENZO"
"VADALA-ANTHONY","DICARLO-CALOGERO"
"PAPPADIA-ANDINNO","EVOLA-NATALE"
"DIBRIZZI-ALEXANDER","DALESSIO-JOHN"
"ORLANDO-IGNAZIO","MASSI-JAMES"
"PROFACI-GIUSEPPE","PAPA-FORTUNATO"
"ROSSI-UGO","ATTARDI-ALFONSO"
"BORELLI-FRANK","MAIORINO-SALVATORE"
"CASTALDI-ANTHONY","ALBASI-JOHN"
"CARILLO-ANTHONY","MIRANDA-MICHELE"
"PAPPADIA-ANDINNO","ORMENTO-JOHN"
"CICCONE-ANTHONY","SALERNO-ANGELO"
"DIBENE-NICHOLAS","CARMINATI-DOMINICK"
"MANNARINO-GIACINTO","MAURO-VINCENZO"
"FRASCA-COSMO","MIRANDA-MICHELE"
"PELLEGRINO-CARMINE","PELLEGRINO-ROCCO"
"ANASTASIO-ANTONIO","DALESSIO-JOHN"
"PUCO-STEPHEN","RICCARDULLI-JOHN"
"LUCIANO-FRANK","SCARPULLA-MICHELE"
"GAMBINO-PAOLO","VITALE-SALVATORE-NY"
"ORMENTO-JOHN","CORALLO-ANTHONY"
"STOPELLI-INNOCENZIO","LIVORSI-FRANK"
"MAGLIOCCO-GIUSEPPE","RUSSO-GAETANO"
"CICCONE-ANTHONY","VELLUCCI-ANTHONY"
"SALERNO-ANGELO","SALERNO-FERDINANDO"
"DIPALERMO-JOSEPH","EVOLA-NATALE"
"LUCCHESE-GAETANO","RAO-JOSEPH"
"CARMINATI-DOMINICK","MONICA-MICHAEL"
"BARRA-JOSEPH","SCARPULLA-MICHELE"
"GAMBINO-CARLO","TORREGROSSA-ANDREA"
"BENDENELLI-JOSEPH","PANEBIANCO-VINCENT"
"PROFACI-GIUSEPPE","BALSAMO-JOHN"
"KASSOP-SAMUEL","ABBRESCIA-ANGELO"
"CARILLO-ANTHONY","ROSATO-JOSEPH"
"PAGANO-PASQUALE","SCARPULLA-MICHELE"
"PISCIOTTA-ROSARIO","PISCIOTTA-ANTHONY"
"MAIMONE-SALVATORE","GIORDANO-SALVATORE"
"DIPIETRO-CARLO","TUMINARO-ANGELO"
"BEHRMAN-NATHAN","DIPALERMO-CHARLES"
"DIPALERMO-JOSEPH","LOMBARDOZZI-CARMINE"
"ORMENTO-JOHN","NAPOLITANO-ANTHONY"
"MOSCA-ALFONSO","INDIVIGLIO-BENJAMIN"
"ANDOLINO-SIMONE","ODDO-JOHN"
"CIRELLI-JOSEPH","PAPPADIA-ANDINNO"
"LATONA-JOSEPH","DIPALERMO-JOSEPH"
"PINTO-ANTHONY","ORMENTO-JOHN"
"MILO-THOMAS","DIOGUARDI-JOHN"
"MAZZIE-ROCCO","TOLENTINO-NICHOLAS"
"MALIZIA-JOHN","PANEBIANCO-VINCENT"
"LOIACANO-ANGELO","ORLANDO-LORENZO"
"VALACHI-JOSEPH","DIBENE-NICHOLAS"
"BARRA-ROCCO","SCARPULLA-MICHELE"
"VELLUCCI-ANTHONY","GELB-USCHE"
"ISABELLA-FLORIO","MIRRA-ANTHONY"
"ISABELLA-FLORIO","BLOOM-SOLOMON"
"MAZZIE-ROCCO","MASSI-JAMES"
"LOIACANO-ANGELO","LOPICCOLO-JOSEPH"
"VINTALORO-JAMES","RAO-VINCENZO"
"PROFACI-GIUSEPPE","LAMONICA-PETER"
"GALANTE-CARMINE","GIGLIO-SALVATORE"
"TAUBMAN-MOISCHE","GELB-USCHE"
"PALMIERI-GEORGE","MANCUSO-ANTHONY"
"MALIZIA-JOHN","BOVE-JOSEPH"
"ALBANESE-PHILIP","CINQUEGRANA-BENEDETTO"
"ODDO-JOHN","MAIORANA-SALVATORE"
"QUARTIERO-LAWRENCE","MAURO-VINCENZO"
"MANCINO-FRANCESCO","ALBATE-CHARLES"
"MANFREDONIA-RICHARD","TANTILLO-ENRICO"
"BUZZEO-FILLIPPO","GERNIE-JOSEPH"
"CARUSO-FRANK","LOMBARDOZZI-CARMINE"
"RICCI-ANTHONY","MAIORANA-SALVATORE"
"STOPELLI-INNOCENZIO","CASTALDI-ANTHONY"
"FONTANA-AUGUST","TUMINARO-ANGELO"
"ANASTASIO-ANTONIO","PROFACI-GIUSEPPE"
"STOPELLI-INNOCENZIO","DIGIOVANNA-JOSEPH"
"BRESCIA-LORENZO","DEFEO-PETER"
"LUCIANO-FRANK","DIBENE-NICHOLAS"
"CARUSO-FRANK","CATALDO-JOSEPH"
"COSTIGLIA-FRANCISCO","ERICHSEN-FRANK"
"PETILLO-DAVID","MIRRA-ANTHONY"
"MAZZIE-ROCCO","PASQUA-FRANK"
"BORELLI-FRANK","OCCHINO-FRANK"
"STOPELLI-INNOCENZIO","NOBILE-GEORGE"
"LOCASCIO-CARMINE","CELI-ARTHUR"
"SCALICI-GIACOMO","LUCIANO-FRANK"
"KASSOP-SAMUEL","MOGAVERO-ROSARIO"
"VALACHI-JOSEPH","SALVO-BATTISTO"
"VENTO-JOSEPH","RAO-VINCENZO"
"COSTIGLIA-FRANCISCO","BIONDO-JOSEPH"
"LACASCIA-CHARLES","RIZZUTO-ANTHONY"
"SORGE-SANTO","DICARLO-CALOGERO"
"ALBERTI-ANDREW","EPPOLITO-ALFRED"
"MANFREDONIA-RICHARD","PELLEGRINO-CARMINE"
"ORMENTO-JOHN","ZERBO-PAUL"
"NICOLINE-MICHAEL","AMALFITANO-VINCENT"
"LOPICCOLO-GIUSEPPE","MISSALE-SALVATORE"
"DENTICO-JOSEPH","AMENDOLA-FRANK"
"VALACHI-JOSEPH","RAGONE-JOSEPH"
