"label","LonX","LatY"
"P7",-73.94680584,40.83729647
"P7",-73.94429621,40.83707743
"P7",-73.93726258,40.82916466
"P7",-73.93008759,40.82995738
"P7",-73.92810107,40.83250128
"P7",-73.93590517,40.82598004
"P7",-73.93726258,40.82916466
"P7",-73.94066429,40.83473137
"P7",-73.94429621,40.83707743
"P7",-73.93988786,40.83579394
"P7",-73.9458565,40.83855987
"P7",-73.94079409,40.84468643
"P7",-73.94858988,40.82897446
"P7",-73.93726258,40.82916466
"P7",-73.93726258,40.82916466
"P7",-73.94374124,40.8384775
"P7",-73.93999395,40.8377142
"P7",-73.94227897,40.84215434
"P7",-73.93678723,40.82481125
"P7",-73.94931566,40.83658814
"P7",-73.93823619,40.82787734
"P7",-73.9434719,40.83089139
"P7",-73.94249893,40.83224043
"P7",-73.94374124,40.8384775
"P7",-73.93798195,40.84350076
"P7",-73.9476843,40.83022287
"P7",-73.9434719,40.83089139
"P7",-73.93726258,40.82916466
"P7",-73.93726258,40.82916466
"P7",-73.93726258,40.82916466
"P7",-73.94249893,40.83224043
"P7",-73.94036011,40.83378667
"P7",-73.92516675,40.83630572
"P7",-73.94620247,40.82715392
"P7",-73.94438083,40.82965101
"P7",-73.93726258,40.82916466
"P7",-73.94442546,40.83468077
"P7",-73.94351366,40.83593313
"P7",-73.94113609,40.83917889
"P7",-73.93726258,40.82916466
"P7",-73.94351366,40.83593313
"P7",-73.93988786,40.83579394
"P7",-73.94438083,40.82965101
"P7",-73.94066429,40.83473137
"P7",-73.93812926,40.82293296
"P7",-73.93726258,40.82916466
"P7",-73.9458565,40.83855987
"P7",-73.93738281,40.83569073
"P7",-73.94113609,40.83917889
"P7",-73.93639683,40.84954119
"P7",-73.93035513,40.83450471
"P8",-73.96243278,40.75898065
"P8",-73.96401182,40.7737328
"P8",-73.95411245,40.77038908
"P8",-73.94053456,40.76342292
"P8",-73.96434754,40.75393465
"P8",-73.96958441,40.76609087
"P8",-73.96243278,40.75898065
"P8",-73.96521328,40.76343136
"P8",-73.96773256,40.75126747
"P8",-73.97164774,40.76614247
"P8",-73.97164774,40.76614247
"P8",-73.95409266,40.77465626
"P8",-73.94763663,40.76433964
"P8",-73.96243278,40.75898065
"P8",-73.95503701,40.76912007
"P8",-73.95139829,40.77007255
"P8",-73.95878081,40.76399002
"P8",-73.96246999,40.76718493
"P8",-73.96155824,40.76843761
"P8",-73.96270393,40.76973878
"P8",-73.95599909,40.76780389
"P8",-73.96243278,40.75898065
"P8",-73.9677586,40.76859674
"P8",-73.96958441,40.76609087
"P8",-73.96644668,40.76714303
"P8",-73.94947624,40.77270782
"P8",-73.96155824,40.76843761
"P8",-73.96493552,40.77246335
"P8",-73.96246999,40.76718493
"P8",-73.95599909,40.76780389
"P8",-73.9523205,40.7688064
"P9",-73.94249893,40.83224043
"P9",-73.94214147,40.83780285
"P9",-73.93823619,40.82787734
"P9",-73.94779618,40.83445161
"P9",-73.94351366,40.83593313
"P9",-73.94680584,40.83729647
"P9",-73.94429621,40.83707743
"P9",-73.94529268,40.82840058
"P9",-73.93726258,40.82916466
"P9",-73.94536462,40.83427124
"P9",-73.94036011,40.83378667
"P9",-73.94351366,40.83593313
"P9",-73.94285625,40.84045169
"P9",-73.93798195,40.84350076
"P9",-73.93612529,40.84355064
"P9",-73.93590517,40.82598004
"P9",-73.93726258,40.82916466
"P9",-73.93726258,40.82916466
"P9",-73.93758877,40.83266294
"P9",-73.94066429,40.83473137
"P9",-73.93639683,40.84954119
"P9",-73.93639683,40.84954119
"P9",-73.94066429,40.83473137
"P9",-73.94429621,40.83707743
"P9",-73.93988786,40.83579394
"P9",-73.9458565,40.83855987
"P9",-73.94079409,40.84468643
"P9",-73.93726258,40.82916466
"P9",-73.93726258,40.82916466
"P9",-73.94779618,40.83445161
"P9",-73.94779618,40.83445161
"P9",-73.93834307,40.83790887
"P9",-73.94227897,40.84215434
"P9",-73.93517146,40.84735795
"P9",-73.94858988,40.82897446
"P9",-73.93726258,40.82916466
"P9",-73.93726258,40.82916466
"P9",-73.94374124,40.8384775
"P9",-73.93999395,40.8377142
"P9",-73.94227897,40.84215434
"P9",-73.94429621,40.83707743
"P9",-73.94429621,40.83707743
"P9",-73.94374124,40.8384775
"P9",-73.9476843,40.83022287
"P9",-73.9434719,40.83089139
"P9",-73.93726258,40.82916466
"P9",-73.93726258,40.82916466
"P9",-73.93726258,40.82916466
